Sales Invoice Type,Rechnungstyp
Invoice Cancellation,Stornorechnung
Credit Note,Gutschrift
has been created for,"wurde geschaffen für"
Revenue Account,Erlöskonto
Export Date,Exportdatum
currency,Währung
"St.Rate","St.-satz"
Book text,Buchtext
Country,Land
"Deb.-No. Datev","Deb.-Nr. Datev"
"Deb.-No.","Deb.-Nr."
Short date,Kurzdatum
Booking date,Buchungsdatum
Receipt No,Beleg Nr
Amount DATEV,Betrag DATEV
Document type,Belegart
"This button takes us to a view in which we can see the data as it is or will be shown in the exports. These views are not reliable and are used to check the master data. The data actually exported can be found in the DATEV export logs.","Über diesen Button gelangen wir zu einer Ansicht in welcher wir die Daten wie sie in den Exporten abgebildet sind bzw. sein werden eingehen. Diese Ansichsten sind nicht belastbar und dienen zur Kontrolle der Stammdaten. Die tatsächlich exportierten Daten finden sich in den DATEV Export Logs."
"Using the Create DATEV Export Logs button, we create an export of all outgoing invoices (including cancellations and credits) for import into DATEV. All documents that have been posted, have not been exported before and for which the master data has been created correctly are taken into account. The export refers to one calendar month but can be triggered multiple times.","Über den Button DATEV-Exportprotokolle erstellen, erstellen wir einen Export aller Ausgangsrechnungen (inkl. Stornierungen und Gutschriften) für den Import in DATEV. Dabei werden alle gebuchten, noch nicht exportierten Belege berücksichtigt, deren Stammdaten korrekt angelegt wurden. Der Export bezieht sich auf einen Kalendermonat, kann aber mehrfach angestoßen werden."
"This button takes us to the list view of the exports that have already been carried out (DATEV Export Log). There we can view and download the *.csv file of the documents, an overview as a *.pdf and the *.csv of the customer master data.","Über diesen Button gelangen wir in die Listenansicht der bereits getätigten Exporte (DATEV Export Log). Dort können wir die *.csv Datei der Belege, eine Übersicht als *.pdf sowie die *.csv der Debitorenstammdaten einsehen und herunterladen."
"With the DATEV OPOS import we upload a file with which we change the payment status of the outgoing invoices. The entries in the file represent the invoices that have not yet been paid. All outgoing invoice IDs that are not contained in the file are set to paid. Exceptions apply to the status 'Paid', 'Cancelled', 'Draft' and 'Credit Note Issues'.","Mit dem DATEV OPOS Import laden wir eine Datei hoch mit welcher wir den Zahlstatus des Ausgangsrechnungen ändern. Die in der Datei enthaltenen Einträge bilden die noch nicht bezahlten Rechnungen ab. Alle Ausgangsrechnungs IDs die also nicht in der Datei enthalten sind werden auf bezahlt gestellt. Ausnahmen gelten für den Status ""Bezahlt (Paid), Abgebrochen (Cancelled), Entwurf (Draft) und Gutschrift ausgelöst (Credit Note Issues)."
Create DATEV Export Logs,DATEV Exportprotokolle erstellen
Show Export Logs,Exportprotokolle anzeigen
DATEV OPOS Import,DATEV OPOS Import
"Select Year and Month","Wählen Sie Jahr und Monat aus"
Debitor No. Datev,Debitoren-Nr. Datev
Invoice No.,Rechnungsnummer
Non-German Company,Nicht-deutsches Unternehmen
DATEV Export Number,DATEV-Exportnummer
German Accounting,Deutsche Buchhaltung
Go to Sales Invoice List,Zur Verkaufsrechnungsliste
Successfully imported.,Erfolgreich importiert.
Partially imported. Fix the error for unimported rows.,Teilweise importiert. Beheben Sie den Fehler für nicht importierte Zeilen.
Importing,Importieren
Request Approval,Genehmigung anfordern
Credit limit has been crossed for customer {0} which has total outstanding amount of {1} and credit limit of {2},Das Kreditlimit für den Kunden {0} wurde überschritten. Der ausstehende Gesamtbetrag beträgt {1} und das Kreditlimit beträgt {2}.
"Customer {} has an Open Invoice Amount of: {}, Overdue Invoice Amount of: {} and Non-Invoiced Amount of: {}","Kunde {} hat offenen Rechnungsbetrag: {}, überfälligen Betrag: {} und nicht berechneten Betrag: {}"
This is a Total of {},Dies ist eine Summe von {}
and The Credit Limit is,und das Kreditlimit beträgt
Credit Limit is not set for this customer,Für diesen Kunden ist kein Kreditlimit festgelegt
Are you sure you want to proceed?,Möchten Sie wirklich fortfahren?
